id;Country_EN;IDH
1;Iceland;0.972
2;Norway;0.97
2;Switzerland;0.97
4;Denmark;0.962
5;Germany;0.959
5;Sweden;0.959
7;Australia;0.958
8;Netherlands;0.955
10;Belgium;0.951
11;Ireland;0.949
12;Finland;0.948
13;Singapore;0.946
13;United Kingdoms;0.946
15;United Arab Emirates;0.94
16;Canada;0.939
17;Liechtenstein;0.938
17;New Zealand;0.938
17;United States;0.938
20;Korea;0.937
21;Slovenia;0.931
22;Austria;0.93
23;Japan;0.925
24;Malta;0.924
25;Luxembourg;0.922
26;France;0.92
27;Israel;0.919
28;Spain;0.918
29;Czech Republic;0.915
29;Italy;0.915
29;San Marino;0.915
32;Andorra;0.913
32;Cyprus;0.913
34;Greece;0.908
35;Poland;0.906
36;Estonia;0.905
37;Saudi Arabia;0.9
38;Bahrein;0.899
39;Lithuania;0.895
40;Portugal;0.89
41;Croatia;0.889
41;Latvia;0.889
43;Qatar;0.886
44;Slovak Republic;0.88
45;Chile;0.878
46;Hungary;0.87
47;Argentina;0.865
48;Montenegro;0.862
48;Uruguay;0.862
50;Oman;0.858
51;Republic of Turkiye;0.853
52;Kuwait;0.852
53;;0.851
54;;0.848
55;Bulgaria;0.845
55;Romania;0.845
57;;0.844
58;;0.84
59;;0.839
60;;0.837
60;;0.837
62;;0.833
62;Serbia;0.833
64;;0.832
65;;0.824
66;;0.82
67;;0.819
68;North Macedonia;0.815
69;;0.811
69;;0.811
71;;0.81
72;;0.807
73;;0.806
74;;0.804
75;;0.799
76;;0.798
76;;0.798
78;People's Republic of China;0.797
79;;0.794
80;;0.791
81;;0.789
81;Mexico;0.789
83;;0.788
84;Brazil;0.786
84;;0.786
86;;0.785
87;;0.779
88;;0.777
89;;0.776
89;;0.776
89;;0.776
92;;0.769
93;;0.766
93;;0.766
95;;0.764
96;;0.763
97;;0.762
98;;0.761
99;;0.756
100;;0.754
100;;0.754
102;;0.752
103;;0.748
104;;0.747
105;;0.746
106;;0.741
107;;0.74
108;;0.733
108;;0.733
108;;0.733
111;;0.731
111;;0.731
113;;0.728
114;;0.722
115;;0.721
115;;0.721
117;;0.72
117;;0.72
117;;0.72
120;;0.71
121;;0.709
122;;0.708
123;;0.706
124;;0.703
125;;0.698
126;;0.695
126;;0.695
128;;0.691
129;;0.689
130;;0.685
130;India;0.685
132;;0.678
133;;0.674
133;;0.674
135;;0.668
136;;0.665
137;;0.662
138;;0.649
139;;0.645
140;;0.644
141;;0.637
142;;0.634
143;;0.628
143;;0.628
145;;0.622
146;;0.621
147;;0.617
148;;0.616
149;;0.615
150;;0.609
151;;0.606
152;;0.603
153;;0.598
154;;0.595
155;;0.588
156;;0.584
157;;0.582
157;;0.582
159;;0.578
160;;0.576
161;;0.571
162;;0.564
163;;0.563
164;;0.56
165;;0.555
166;;0.554
167;;0.55
168;;0.544
169;;0.53
170;;0.524
171;;0.522
172;;0.517
173;;0.515
174;;0.514
175;;0.513
176;;0.511
177;;0.51
178;;0.503
179;;0.5
180;;0.497
181;;0.496
182;;0.493
183;;0.487
184;;0.47
185;;0.467
186;;0.459
187;;0.439
188;;0.419
189;;0.419
190;;0.416
191;;0.414
192;;0.404
193;;0.388
