Country,Time,Balance,Product,Value,Unit
Australia,Jan-26,Net Electricity Production,Electricity,24289.2124,GWh
Australia,Jan-26,Net Electricity Production,Hydro,943.0563,GWh
Australia,Jan-26,Net Electricity Production,Total Combustible Fuels,13071.0551,GWh
Australia,Jan-26,Net Electricity Production,Coal Peat and Manufactured Gases,9366.8997,GWh
Australia,Jan-26,Net Electricity Production,Oil and Petroleum Products,315.5568,GWh
Australia,Jan-26,Net Electricity Production,Natural Gas,3172.5628,GWh
Australia,Jan-26,Net Electricity Production,Combustible Renewables,216.0359,GWh
Australia,Jan-26,Net Electricity Production,Solar,6571.2852,GWh
Australia,Jan-26,Net Electricity Production,Total Renewables,11434.1932,GWh
Australia,Jan-26,Used for pumped storage,Electricity,95.455,GWh
Australia,Jan-26,Distribution Losses,Electricity,1223.051,GWh
Australia,Jan-26,Final Consumption (Calculated),Electricity,22970.7064,GWh
Australia,Jan-26,Net Electricity Production,Wind,3703.8157,GWh
Austria,Jan-26,Net Electricity Production,Electricity,5778.3238,GWh
Austria,Jan-26,Net Electricity Production,Hydro,1968.3756,GWh
Austria,Jan-26,Net Electricity Production,Total Combustible Fuels,2586.4613,GWh
Austria,Jan-26,Net Electricity Production,Coal Peat and Manufactured Gases,154.6461,GWh
Austria,Jan-26,Net Electricity Production,Oil and Petroleum Products,59.4243,GWh
Austria,Jan-26,Net Electricity Production,Natural Gas,1886.0994,GWh
Austria,Jan-26,Net Electricity Production,Combustible Renewables,397.7911,GWh
Austria,Jan-26,Net Electricity Production,Other Combustible Non-Renewables,88.5003,GWh
Austria,Jan-26,Net Electricity Production,Solar,473.6295,GWh
Austria,Jan-26,Net Electricity Production,Not Specified,0.7321,GWh
Austria,Jan-26,Net Electricity Production,Total Renewables,3588.9215,GWh
Austria,Jan-26,Total Imports,Electricity,3131.4278,GWh
Austria,Jan-26,Total Exports,Electricity,1517.0519,GWh
Austria,Jan-26,Used for pumped storage,Electricity,484.6091,GWh
Austria,Jan-26,Distribution Losses,Electricity,339.8937,GWh
Austria,Jan-26,Final Consumption (Calculated),Electricity,6568.1969,GWh
Austria,Jan-26,Net Electricity Production,Wind,749.1252,GWh
Belgium,Jan-26,Net Electricity Production,Electricity,6786.6109,GWh
Belgium,Jan-26,Net Electricity Production,Nuclear,1531.4663,GWh
Belgium,Jan-26,Net Electricity Production,Hydro,109.3102,GWh
Belgium,Jan-26,Net Electricity Production,Total Combustible Fuels,3377.8487,GWh
Belgium,Jan-26,Net Electricity Production,Coal Peat and Manufactured Gases,189.0651,GWh
Belgium,Jan-26,Net Electricity Production,Oil and Petroleum Products,20.0275,GWh
Belgium,Jan-26,Net Electricity Production,Natural Gas,2763.6953,GWh
Belgium,Jan-26,Net Electricity Production,Combustible Renewables,324.7005,GWh
Belgium,Jan-26,Net Electricity Production,Other Combustible Non-Renewables,80.3603,GWh
Belgium,Jan-26,Net Electricity Production,Solar,274.2945,GWh
Belgium,Jan-26,Net Electricity Production,Not Specified,28.3061,GWh
Belgium,Jan-26,Net Electricity Production,Total Renewables,2173.6904,GWh
Belgium,Jan-26,Total Imports,Electricity,2554.3217,GWh
Belgium,Jan-26,Total Exports,Electricity,1120.1056,GWh
Belgium,Jan-26,Used for pumped storage,Electricity,87.3609,GWh
Belgium,Jan-26,Distribution Losses,Electricity,321.1532,GWh
