Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Argentina,,,,,,25.52983117513304,23.457886099938463,25.199250539637983,26.03897047425762,27.38273564354908,32.76065011580515,30.441230300215523,35.878133765657346,43.7299829542572,42.643664438378885,43.857107713020156
Australia,10.314037765283008,10.415753238614286,12.497934761757094,15.31086678784734,13.619642024952304,14.316161506620935,17.595861640859944,15.79288673278183,19.290827007302344,21.277967857858588,25.016644274757954,30.00931256575755,33.06482274753175,35.603813047682515,37.03984028288547,40.266979159780256
Austria,63.65274831406318,63.34274232666786,71.68140392737185,74.36253447530174,76.67747798108613,72.50893762422747,73.5995624873545,72.07002250031121,72.94198756410758,73.21718753932275,76.11620344100392,74.66135249315212,74.32180830398676,81.11145125484963,82.67486904554136,78.07077773529916
Belgium,15.551351448906809,20.856805560011647,25.184589020480118,29.56246545302381,31.79745835489221,32.538482814212834,33.53649044522646,34.82230700283592,36.3850159602699,37.79960582193785,41.66073953782212,44.51523693774368,46.24966833717846,53.98683860611634,57.23376665625694,56.41071331964444
Brazil,,,,,,70.94667573951747,76.11480537199476,75.09039759737153,77.8191052245847,77.76273506920678,78.70022462486054,74.04150658062092,83.53374871281943,84.75764936890069,82.51990752718389,81.27522380422609
Bulgaria,,,,,,29.997729953986937,29.78815811788738,25.235654426513793,33.29514858946184,29.838406546450884,34.2798631582781,34.72179769188086,29.09499214336114,43.97128104265252,51.39787941338121,53.566064774661136
Canada,72.14384824231026,73.5518260541238,74.8255128253719,75.83932556223722,75.39835076190958,75.52624695995125,75.89968939210411,77.88528672146684,77.22684000872185,77.30677474010831,78.42710259000758,77.97888248086674,78.95792790047203,76.05691852969062,75.49885184321154,74.56786731313981
Chile,40.01372412913773,37.8605145909346,35.38685762954153,34.26051247716419,40.31586984971795,41.4775470531093,39.062244601543505,41.28007246857839,44.12168523964336,44.31955533391101,46.31496120373077,46.62756832509536,53.402311007160726,60.463188052408405,65.06999361184602,61.092783494608945
China,,,,,,25.170007989179908,26.157628628335775,26.38605207646481,27.477092832247667,28.8350166583019,30.11892962220836,30.507028276302474,32.01665091556381,32.211396470369195,35.36189696446892,38.926089421141924
Colombia,,,,,69.07405998695936,63.70938172821361,64.4968166073585,77.8364729075873,75.34411141407212,68.60942881244002,63.852774076563456,76.3530248824322,74.46373427395017,68.61867518536685,64.50619238048439,79.03123850282076
Costa Rica,,,,,,,,,,,,98.46350027285973,98.78769215049233,94.65388466474856,89.06828164951116,97.36532101569007
Croatia,,,,,,67.72283659207251,66.2920899645681,59.939841938847195,69.79929896082203,62.24551341806015,61.74257594002268,65.44383784465893,59.578046864325984,67.09999868706821,70.45864073121324,72.88284594746425
Cyprus,,,,,,9.320214224775846,9.167448981453166,9.237181299136745,9.887910539179599,10.530732025904923,13.10815951223538,16.055799126943167,17.518000045940013,21.472404137917817,24.608303076229628,27.756774827763476
Czech Republic,11.812425510610204,13.866270162853255,15.48519706731387,18.08328069968168,18.018556657335974,18.30839311675349,17.633752316070264,18.127937201791607,17.700049341303114,19.305923839833024,22.187273279343405,21.482138840994754,21.074302451499793,25.376269994358044,28.90871567364397,29.60351139415143
