Country,Year,Product,Value
Argentina,2025,Natural Gas,72017.8948
Australia,2025,Coal Peat and Manufactured Gases,115316.2226
Austria,2025,Hydro,36302.0799
Belgium,2025,Nuclear,22478.8981
Brazil,2025,Hydro,394130.3976
Bulgaria,2025,Nuclear,14539.227
Canada,2025,Hydro,345099.2129
Chile,2025,Solar,20589.821
China,2025,Coal Peat and Manufactured Gases,5594139.0122
Colombia,2025,Hydro,66118.1447
Costa Rica,2025,Hydro,10218.3829
Croatia,2025,Hydro,5603.9565999999995
Cyprus,2025,Solar,1339.4032
Czech Republic,2025,Nuclear,30310.9193
Denmark,2025,Wind,19077.9184
Estonia,2025,Coal Peat and Manufactured Gases,1835.6898
Finland,2025,Nuclear,31322.9687
France,2025,Nuclear,373022.0126
Germany,2025,Wind,129882.8805
Greece,2025,Natural Gas,23983.8814
Hungary,2025,Nuclear,15219.5559
Iceland,2025,Hydro,13564.9657
India,2025,Coal Peat and Manufactured Gases,1356652.4837
Ireland,2025,Natural Gas,14487.152100000001
Italy,2025,Natural Gas,117754.6929
Japan,2025,Natural Gas,303559.7386
Korea,2025,Coal Peat and Manufactured Gases,198063.7433
Latvia,2025,Hydro,2943.2971000000002
Lithuania,2025,Solar,5562.9773
Luxembourg,2025,Hydro,779.4611
Malta,2025,Natural Gas,1799.3066
Mexico,2025,Natural Gas,220124.6839
Netherlands,2025,Natural Gas,47392.0891
New Zealand,2025,Hydro,23818.7928
North Macedonia,2025,Solar,4569.947
Norway,2025,Hydro,145459.7437
Poland,2025,Coal Peat and Manufactured Gases,84409.2434
Portugal,2025,Hydro,18729.7534
Romania,2025,Hydro,11768.7245
Serbia,2025,Coal Peat and Manufactured Gases,21245.3835
Slovak Republic,2025,Nuclear,17874.7771
Slovenia,2025,Nuclear,5547.0791
Spain,2025,Solar,63583.1549
Sweden,2025,Hydro,67985.6799
Switzerland,2025,Hydro,37485.0
Turquía,2025,Coal Peat and Manufactured Gases,113440.6695
United Kingdom,2025,Natural Gas,88438.4608
United States,2025,Natural Gas,1787844.5569
