Year,Hydro,Solar,Geothermal,Coal Peat and Manufactured Gases,Natural Gas,Nuclear,Wind
2015,3146456.6686,235893.5101,45928.722,7904764.881,3045676.0527999997,2118391.2501,800731.4221
2016,3237023.0782,304851.5569,46940.9623,7943671.4766,3201186.2843,2155412.3681,925016.8157
2017,3236427.2984,409164.5699,48316.5662,8232871.1034,3226990.2935,2174874.5702,1092818.8281
2018,3329654.9615,528429.3326,49503.907699999996,8387168.8061,3376440.1905,2232989.382,1222548.3717
2019,3384355.5954,639670.2745,50334.2222,8133236.5189000005,3532597.7607,2316245.8016,1366070.3936
2020,3469636.9797,765929.867,51638.0058,7676388.3806,3558800.2329,2219602.902,1533503.4523
2021,3377891.8815,933013.8337,53275.3062,8438218.8179,3610044.4258,2297276.0253,1785606.4783
2022,3403466.8948,1183200.9734,53915.2944,8569205.7755,3624607.4179000002,2185453.207,2023220.9921
2023,3321936.4911,1481479.5175,53546.7234,8734928.6022,3651442.8298,2244816.7648,2218114.7405
2024,3500605.9979,1913959.2838,53251.365900000004,8826747.6056,3776530.0683999998,2316928.1777,2399243.3876
2025,3488372.3081,2496467.4577,52413.6981,8794823.9926,3768667.4759,2352842.7271,2595813.4077
